"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Rwanda","Africa",1992,23.599,7290203,737.0685949
"2","Afghanistan","Asia",1952,28.801,8425333,779.4453145
"3","Gambia","Africa",1952,30,284320,485.2306591
"4","Angola","Africa",1952,30.015,4232095,3520.610273
"5","Sierra Leone","Africa",1952,30.331,2143249,879.7877358
"6","Afghanistan","Asia",1957,30.332,9240934,820.8530296
"7","Cambodia","Asia",1977,31.22,6978607,524.9721832
"8","Mozambique","Africa",1952,31.286,6446316,468.5260381
"9","Sierra Leone","Africa",1957,31.57,2295678,1004.484437
"10","Burkina Faso","Africa",1952,31.975,4469979,543.2552413
"11","Afghanistan","Asia",1962,31.997,10267083,853.10071
"12","Angola","Africa",1957,31.999,4561361,3827.940465
"13","Gambia","Africa",1957,32.065,323150,520.9267111
"14","Guinea-Bissau","Africa",1952,32.5,580653,299.850319
"15","Yemen, Rep.","Asia",1952,32.548,4963829,781.7175761
"16","Sierra Leone","Africa",1962,32.767,2467895,1116.639877
"17","Somalia","Africa",1952,32.978,2526994,1135.749842
"18","Guinea-Bissau","Africa",1957,33.489,601095,431.7904566
"19","Guinea","Africa",1952,33.609,2664249,510.1964923
"20","Mali","Africa",1952,33.685,3838168,452.3369807
"21","Mozambique","Africa",1957,33.779,7038035,495.5868333
"22","Gambia","Africa",1962,33.896,374020,599.650276
"23","Yemen, Rep.","Asia",1957,33.97,5498090,804.8304547
"24","Angola","Africa",1962,34,4826015,4269.276742
"25","Afghanistan","Asia",1967,34.02,11537966,836.1971382
"26","Ethiopia","Africa",1952,34.078,20860941,362.1462796
"27","Sierra Leone","Africa",1967,34.113,2662190,1206.043465
"28","Equatorial Guinea","Africa",1952,34.482,216964,375.6431231
"29","Guinea-Bissau","Africa",1962,34.488,627820,522.0343725
"30","Guinea","Africa",1957,34.558,2876726,576.2670245
"31","Djibouti","Africa",1952,34.812,63149,2669.529475
"32","Burkina Faso","Africa",1957,34.906,4713416,617.1834648
"33","Somalia","Africa",1957,34.977,2780415,1258.147413
"34","Yemen, Rep.","Asia",1962,35.18,6120081,825.6232006
"35","Mali","Africa",1957,35.307,4241884,490.3821867
"36","Sierra Leone","Africa",1972,35.4,2879013,1353.759762
"37","Central African Republic","Africa",1952,35.463,1291695,1071.310713
"38","Guinea-Bissau","Africa",1967,35.492,601287,715.5806402
"39","Guinea","Africa",1962,35.753,3140003,686.3736739
"40","Gambia","Africa",1967,35.857,439593,734.7829124
"41","Eritrea","Africa",1952,35.928,1438760,328.9405571
"42","Equatorial Guinea","Africa",1957,35.983,232922,426.0964081
"43","Angola","Africa",1967,35.985,5247469,5522.776375
"44","Rwanda","Africa",1997,36.087,7212583,589.9445051
"45","Afghanistan","Asia",1972,36.088,13079460,739.9811058
"46","Nepal","Asia",1952,36.157,9182536,545.8657229
"47","Mozambique","Africa",1962,36.161,7788944,556.6863539
"48","Malawi","Africa",1952,36.256,2917802,369.1650802
"49","Myanmar","Asia",1952,36.319,20092996,331
"50","Nigeria","Africa",1952,36.324,33119096,1077.281856
"51","Guinea-Bissau","Africa",1972,36.486,625361,820.2245876
"52","Ethiopia","Africa",1957,36.667,22815614,378.9041632
"53","Madagascar","Africa",1952,36.681,4762912,1443.011715
"54","Sierra Leone","Africa",1977,36.788,3140897,1348.285159
"55","Mali","Africa",1962,36.936,4690372,496.1743428
"56","Somalia","Africa",1962,36.981,3080153,1369.488336
"57","Yemen, Rep.","Asia",1967,36.984,6740785,862.4421463
"58","Gabon","Africa",1952,37.003,420702,4293.476475
"59","Guinea","Africa",1967,37.197,3451418,708.7595409
"60","Malawi","Africa",1957,37.207,3221238,416.3698064
"61","Senegal","Africa",1952,37.278,2755589,1450.356983
"62","Djibouti","Africa",1957,37.328,71851,2864.969076
"63","India","Asia",1952,37.373,372000000,546.5657493
"64","Niger","Africa",1952,37.444,3379468,761.879376
"65","Central African Republic","Africa",1957,37.464,1392284,1190.844328
"66","Guinea-Bissau","Africa",1977,37.465,745228,764.7259628
"67","Indonesia","Asia",1952,37.468,82052000,749.6816546
"68","Bangladesh","Asia",1952,37.484,46886859,684.2441716
"69","Equatorial Guinea","Africa",1962,37.485,249220,582.8419714
"70","Oman","Asia",1952,37.578,507833,1828.230307
"71","Haiti","Americas",1952,37.579,3201488,1840.366939
"72","Nepal","Asia",1957,37.686,9682338,597.9363558
"73","Nigeria","Africa",1957,37.802,37173340,1100.592563
"74","Burkina Faso","Africa",1962,37.814,4919632,722.5120206
"75","Angola","Africa",1972,37.928,5894858,5473.288005
"76","Eritrea","Africa",1957,38.047,1542611,344.1618859
"77","Chad","Africa",1952,38.092,2682462,1178.665927
"78","Mozambique","Africa",1967,38.113,8680909,566.6691539
"79","Benin","Africa",1952,38.223,1738315,1062.7522
"80","Gambia","Africa",1972,38.308,517101,756.0868363
"81","Sierra Leone","Africa",1992,38.333,4260884,1068.696278
"82","Malawi","Africa",1962,38.41,3628608,427.9010856
"83","Afghanistan","Asia",1977,38.438,14880372,786.11336
"84","Sierra Leone","Africa",1982,38.445,3464522,1465.010784
"85","Liberia","Africa",1952,38.48,863308,575.5729961
"86","Mali","Africa",1967,38.487,5212416,545.0098873
"87","Cameroon","Africa",1952,38.523,5009067,1172.667655
"88","Togo","Africa",1952,38.596,1219113,859.8086567
"89","Niger","Africa",1957,38.598,3692184,835.5234025
"90","Sudan","Africa",1952,38.635,8504667,1615.991129
"91","Guinea","Africa",1972,38.842,3811387,741.6662307
"92","Madagascar","Africa",1957,38.865,5181679,1589.20275
"93","Somalia","Africa",1967,38.977,3428839,1284.73318
"94","Equatorial Guinea","Africa",1967,38.987,259864,915.5960025
"95","Gabon","Africa",1957,38.999,434904,4976.198099
"96","Burundi","Africa",1952,39.031,2445618,339.2964587
"97","Congo, Dem. Rep.","Africa",1952,39.143,14100005,780.5423257
"98","Zambia","Africa",2002,39.193,10595811,1071.613938
"99","Guinea-Bissau","Africa",1982,39.327,825987,838.1239671
"100","Senegal","Africa",1957,39.329,3054547,1567.653006
"101","Bangladesh","Asia",1957,39.348,51365468,661.6374577
"102","Nigeria","Africa",1962,39.36,41871351,1150.927478
"103","Nepal","Asia",1962,39.393,10332057,652.3968593
"104","Cambodia","Asia",1952,39.417,4693836,368.4692856
"105","Central African Republic","Africa",1962,39.475,1523478,1193.068753
"106","Angola","Africa",1977,39.483,6162675,3008.647355
"107","Liberia","Africa",1957,39.486,975950,620.9699901
"108","Malawi","Africa",1967,39.487,4147252,495.5147806
"109","Niger","Africa",1962,39.487,4076008,997.7661127
"110","Swaziland","Africa",2007,39.613,1133066,4513.480643
"111","Sudan","Africa",1957,39.624,9753392,1770.337074
"112","Somalia","Africa",1992,39.658,6099799,926.9602964
"113","Djibouti","Africa",1962,39.693,89898,3020.989263
"114","Yemen, Rep.","Asia",1972,39.848,7407075,1265.047031
"115","Afghanistan","Asia",1982,39.854,12881816,978.0114388
"116","Saudi Arabia","Asia",1952,39.875,4005677,6459.554823
"117","Chad","Africa",1957,39.881,2894855,1308.495577
"118","Sierra Leone","Africa",1997,39.897,4578212,574.6481576
"119","Angola","Africa",1987,39.906,7874230,2430.208311
"120","Indonesia","Asia",1957,39.918,90124000,858.9002707
"121","Angola","Africa",1982,39.942,7016384,2756.953672
"122","Mali","Africa",1972,39.977,5828158,581.3688761
"123","Uganda","Africa",1952,39.978,5824797,734.753484
"124","Zimbabwe","Africa",2002,39.989,11926563,672.0386227
"125","Rwanda","Africa",1952,40,2534927,493.3238752
"126","Sierra Leone","Africa",1987,40.006,3868905,1294.447788
"127","Ethiopia","Africa",1962,40.059,25145372,419.4564161
