"","country","continent","intercept","slope","res_err_var"
"1","Botswana","Africa",52.9291153846154,0.0606685314685316,37.3587117209789
"2","Rwanda","Africa",42.7419487179487,-0.0458314685314686,43.0108985376456
"3","Swaziland","Africa",46.387858974359,0.0950748251748254,44.1439492900932
"4","Zimbabwe","Africa",55.2212435897436,-0.0930209790209789,51.9182315093239
"5","Trinidad and Tobago","Americas",62.0523076923077,0.173661538461538,2.72905164615382
"6","Cuba","Americas",62.2134487179487,0.321150349650349,3.02983461037293
"7","El Salvador","Americas",46.5119487179487,0.477141258741258,3.77519343310023
"8","Jamaica","Americas",62.6609871794872,0.221394405594405,4.22690415547784
"9","China","Asia",47.1904815384616,0.530714853146853,14.8763750495698
"10","Korea, Dem. Rep.","Asia",54.9056025641026,0.316426573426573,15.117914614219
"11","Iraq","Asia",50.1134615384616,0.235210489510489,16.4600325856643
"12","Cambodia","Asia",37.0154230769231,0.395902797202797,31.6985122472026
"13","Albania","Europe",59.2291282051282,0.334683216783216,3.93253301596729
"14","Bosnia and Herzegovina","Europe",58.0895641025641,0.349755244755244,5.09253735058273
"15","Bulgaria","Europe",65.7373076923078,0.14568881118881,6.29566600524461
"16","Montenegro","Europe",62.2416282051282,0.293001398601399,7.58358926596737
"17","Australia","Oceania",68.4005128205128,0.227723776223776,0.385155014568772
"18","New Zealand","Oceania",68.6869230769231,0.192820979020979,0.646974342657346
